Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75
Location,"42.88745,-79.90902","25.16731,-97.71211","-1.24193,-46.29993","54.52573,8.64475","-8.09716,-173.06530","56.75762,97.56611","-19.03858,21.0777","64.22230,126.61274","-28.75954,-61.17630","-8.06380,-9.73144","63.61971,-159.23817","31.42080,98.25587","12.75710,102.18974","24.75407,45.70224","45.34900,-147.73661","-9.56323,35.41196","7.19893,10.27789","40.18388,-88.26747","-8.84016,125.86092","42.76279,-26.35811","50.55140,37.0641","-8.50552,17.79717","64.16826,169.31981","0.95099,122.50751","3.77510,-44.26523","23.80822,18.79162","19.74052,57.17697","0.03493,-64.24280","15.95473,1.03793","31.21514,-40.13379","-8.65809,-77.20079","25.64561,2.52492","33.07942,-107.50373","15.15095,79.24915","-40.72422,-131.04434","39.92947,-83.18137","-19.63952,-52.44096","64.74920,-16.40621","34.72942,43.30842","20.05705,-142.54321","20.39443,101.27905","30.17212,28.09302","-36.85802,-61.62347","42.72843,22.80838","-60.14787,68.98152","22.58638,89.74409","-28.97336,144.07499","6.03854,9.97050","-5.15488,145.02481","43.90632,-19.74253","52.12279,26.64262","53.50717,102.28285","52.33376,-86.37075","1.47020,10.66546","-35.32501,4.23753","22.76388,102.09776","-23.95835,144.65979","42.19240,-115.95282","70.59249,147.35160","6.10223,-79.46367","-5.33040,-36.58790","8.73224,1.41804","28.00962,97.39460","19.75814,48.96835","-23.17134,-87.59706","18.58460,-71.39322","1.78594,39.31416","55.56516,-103.50480","32.04791,75.92816","-1.70855,-149.93874","32.14758,-5.53253","42.44382,-96.01562","7.14098,13.34643","21.80085,109.81081","-46.70008,-0.16060"
Steve Lira,"43.08584,-79.06862","27.42409,-97.29907","19.38295,-70.51502","52.372372,9.766774","-17.60421,177.45367","52.80262,23.82718","48.13403,11.55026","61.63464,-149.12987","19.27408,-70.71028","48.13403,11.55026","61.1733604,-149.9811143","52.69713,23.87809","52.69713,23.87809","49.98262,20.0549","59.93949,-149.31849","49.98262,20.0549","48.13403,11.55026","40.10656,-88.22358","-17.614047,177.345905","50.0719,8.24361","52.69713,23.87809","48.13403,11.55026","61.1733604,-149.9811143","-17.614047,177.345905","19.38295,-70.51502","48.13671,11.61422","52.69713,23.87809","19.27408,-70.71028","48.13403,11.55026","42.3689869,-71.017466","19.27408,-70.71028","48.13403,11.55026","35.04055,-106.62554","52.69713,23.87809","-38.64963,176.08939","39.11807,-84.48616","19.27408,-70.71028","52.372372,9.766774","52.69713,23.87809","21.99319,-159.33178","52.69713,23.87809","49.98262,20.0549","19.27408,-70.71028","49.98262,20.0549","-45.41698,167.71192","52.69713,23.87809","-44.610097,167.8681782","48.13403,11.55026",,,,,,,,,,,,,,,,,,,,,,,,,,,
Patxepi,"43.0858067,-79.0686602","32.836666666666666,-96.84228611111111","18.4378,-66.0042","50.62549,3.08787","18.91137070818888,-155.6815709597448","25.0925493,121.2411244","21.6613588,39.1649998","25.0925493,121.2411244","-16.3999567,-71.5362592","41.1111628,1.2528689","48.76466111111111,-113.80715277777777","22.1970652,113.5362319","22.181320541555653,113.5301720134474","24.958526143022837,46.70435142637477","37.897748,-122.575333","21.6613588,39.1649998","21.6613588,39.1649998","39.71111388888889,-86.29155833333333","6.9656195,118.5376978","51.4694862,-0.4512495","48.352577,11.803393","21.6613588,39.1649998","48.76466111111111,-113.80715277777777","6.9656195,118.5376978","18.4378,-66.0042","21.6613588,39.1649998","24.94836551676497,46.71390005937502","-13.4033624,-71.8328371","41.1111628,1.2528689","44.339413,-68.2532709","-12.04383611111111,-77.02482499999999","41.1111628,1.2528689","33.38777,-111.83669","24.94836551676497,46.71390005937502","-13.89385958625533,-76.29614029773312","41.2042282,-81.5832497","-15.6367,-70.34893055555555","51.4694862,-0.4512495","24.958526143022837,46.70435142637477","18.91137070818888,-155.6815709597448","22.181320541555653,113.5301720134474","21.67127,39.16525","-16.3999567,-71.5362592","48.352577,11.803393","6.9736608407130225,118.47569916270639","22.181320541555653,113.5301720134474","13.4938764,144.8084645","21.6613588,39.1649998","13.4938764,144.8084645","51.4694862,-0.4512495",,,,,,,,,,,,,,,,,,,,,,,,,
vel,"28.408307039640995,-16.566040828672932","28.270110133442895,-16.638740726350335","28.0875941,-16.7382726","53.5952552,9.9355817","56.124016512883365,8.114359862461123","54.4809276546626,11.075260855257559","28.0875941,-16.7382726","56.124016512883365,8.114359862461123","28.0875941,-16.7382726","28.0875941,-16.7382726","56.124016512883365,8.114359862461123","52.5302,13.3794","52.5302,13.3794","47.7955769,11.6844062","56.124016512883365,8.114359862461123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wowa,"42.333843,-83.0247993","25.663606,-100.309283","31.61244954139606,-8.02119186599753","55.48763695373464,8.411263665583915","25.034315873462205,121.56521581331117","37.96858193998331,112.55103104810401","-26.028616335585678,27.854648694391006","37.96858193998331,112.55103104810401","25.663606,-100.309283","31.61244954139606,-8.02119186599753","42.34138888888889,-83.054","22.541038,88.366516","1.3541686285944416,103.98570009348185","24.4603709,54.3214213","25.67221742693221,-100.35350309447699","-26.028616335585678,27.854648694391006","31.6750818,6.1441868","42.32619819888755,-83.05225554492148","1.3541686285944416,103.98570009348185","43.266376467053874,-2.9462031653337304","49.988717,36.232236","-26.028616335585678,27.854648694391006","37.96858193998331,112.55103104810401","1.3541686285944416,103.98570009348185","31.61244954139606,-8.02119186599753","31.6750818,6.1441868","24.453568370298985,54.64812254774871","40.70145417434128,-74.01233093227896","31.6750818,6.1441868","31.61244954139606,-8.02119186599753","25.663606,-100.309283","31.6750818,6.1441868","25.663606,-100.309283","18.532119,73.829744","25.663606,-100.309283","42.32619819888755,-83.05225554492148","40.70145417434128,-74.01233093227896","62.3914670828289,5.61151285005484","41.70156500709193,44.787059666252865","25.67221742693221,-100.35350309447699","22.541038,88.366516","32.05307210624615,34.752780253060074","25.663606,-100.309283","42.690226,23.31939","-26.028616,27.854649","22.541038,88.366516","1.3541686285944416,103.98570009348185","31.6750818,6.1441868","1.3541686285944416,103.98570009348185","43.266376467053874,-2.9462031653337304","49.9688628156865,24.89972964091977","37.96858193998331,112.55103104810401","42.34138888888889,-83.054","31.6750818,6.1441868","-26.028616,27.854649","22.541038,88.366516","1.3541686285944416,103.98570009348185","29.74275055096066,-95.46415803706371","37.96858193998331,112.55103104810401","25.663606,-100.309283","31.61244954139606,-8.02119186599753","31.6750818,6.1441868","22.541038,88.366516","24.4603709,54.3214213","25.663606,-100.309283","40.70145417434128,-74.01233093227896","24.4603709,54.3214213","42.34138888888889,-83.054","28.553754,77.084652","25.67221742693221,-100.35350309447699","33.37275749736655,-7.579872064135208","42.34138888888889,-83.054","31.6750818,6.1441868","23.700600730789606,120.55879015692207","-26.028616,27.854649"
vegetal,"53.427162,-6.24118","53.427162,-6.24118","53.337599,-6.257493","55.67766629948034,12.494811795115924","-43.531496,172.62683","22.3148657890675,113.93320675629698","43.737012741378386,7.427680867915095","22.306103992701964,114.16988212648472","-45.875082,170.508411","43.469603,5.655936","56.951649,24.102128","22.3148657890675,113.93320675629698","2.7534486,101.7062342","48.041622,17.041015","53.43040266750453,-6.246610105017836","43.737012741378386,7.427680867915095","43.469603,5.655936","53.43040266750453,-6.246610105017836","5.5000336,118.2068293","53.337599,-6.257493","56.944236,24.121601","43.737012741378386,7.427680867915095","22.306103992701964,114.16988212648472","5.5000336,118.2068293","53.337599,-6.257493","43.737012741378386,7.427680867915095","48.041622,17.041015","53.337599,-6.257493","43.469603,5.655936","53.337599,-6.257493","53.337599,-6.257493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qazplm500,"38.890403255337226,-77.06993562744204","36.4506151123077,-104.96105543145447","25.07296262781478,-77.33766475516366","63.9769409686157,-16.97060828381676","19.135273455077105,-155.5050541842711","64.03076260018764,-16.937425112009507","63.9769409686157,-16.97060828381676","64.96766255343138,-22.995027357541534","19.292325690469017,-81.38620178619186","63.40192172577411,-19.037306223446674","47.940421649141946,-124.64939121055495","64.03076260018764,-16.937425112009507","64.03076260018764,-16.937425112009507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rikk,"38.8892695,-77.0500122","19.6929509,-98.8455988","-3.1073413,-60.0142681","50.0501507,8.5744962","34.0159851,-118.8207747","40.2468977,73.3249902","35.198504,24.0790788","30.73488,104.143785","-23.9253541,-67.6604464","-22.9493994,-43.1566542","44.5556879,-112.30925","30.6623083,104.0386998","13.1650651,100.9357765","25.3265994,55.5145792","34.0159851,-118.8207747","25.3265994,55.5145792","35.198504,24.0790788","41.7377722,-87.8664761","13.1650651,100.9357765","37.1057853,-8.9386701","41.0254746,28.9749414","35.198504,24.0790788","44.5556879,-112.30925","22.2796318,114.1615326","-3.1073413,-60.0142681","35.198504,24.0790788","25.3265994,55.5145792","-3.1188183,-60.4933506","28.0609011,-15.4199817","28.131549,-15.4492027","-2.2478228,-78.7821624","36.7343409,-3.54974","36.8317056,-104.334653","13.752369,100.4886466","-51.039848,-73.1473723","38.251169565578174,-85.75415982090334","-22.9009083,-47.054272","59.9141698,10.7371821","41.0207875,28.9833817","34.0159851,-118.8207747","14.4739798,101.3902306","35.198504,24.0790788","-33.4224707,-70.6112625","41.0254746,28.9749414","-53.1648035,-70.9009894","14.3555484,100.5585574","13.1650651,100.9357765","35.198504,24.0790788","22.2709828,114.1508748","37.1057853,-8.9386701","41.0254746,28.9749414",,,,,,,,,,,,,,,,,,,,,,,,
Redoct878,"39.95532450968639,-75.1631100923433","29.989431634273434,-95.3414638488444","33.64165261944666,-84.44411018617708","39.87406453656534,-75.2443322743231","21.306858034439497,-157.94542120988208","49.901863535498514,-97.2170943729415","39.87406453656534,-75.2443322743231","49.196517883826246,-123.17923444917268","33.64165261944666,-84.44411018617708","39.87406453656534,-75.2443322743231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,"62.5584473,6.1151291","41.2376333,-8.6725861","38.7876426,-9.3907745","55.6800278,12.5895","-43.5286731,172.6388608","40.4331975,116.5641384","36.5101972,-4.8850361","40.4331975,116.5641384","38.7876426,-9.3907745","36.5101972,-4.8850361","43.0572686,141.3526615","29.5652593,106.5738422","1.374928,103.8769528","25.196635599863974,55.27304722799519","43.1990945,141.0025843","25.196635599863974,55.27304722799519","36.5101972,-4.8850361","62.5584473,6.1151291","-8.3914583,115.6308278","41.2376333,-8.6725861","59.3035342,18.1182156","36.7591028,-3.6743389","43.0572686,141.3526615","-8.3914583,115.6308278","38.7876426,-9.3907745","36.7591028,-3.6743389","25.196635599863974,55.27304722799519","38.7877947,-9.3907152","36.7591028,-3.6743389","38.7877947,-9.3907152","38.7877947,-9.3907152","36.7591028,-3.6743389","1.3431407,103.8586692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
